---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 13:33:59 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 51
capture.afpacket.polls                                       | Total                     | 196
capture.afpacket.poll_timeout                                | Total                     | 152
capture.afpacket.poll_data                                   | Total                     | 44
decoder.pkts                                                 | Total                     | 52
decoder.bytes                                                | Total                     | 7544
decoder.ipv4                                                 | Total                     | 21
decoder.ipv6                                                 | Total                     | 28
decoder.ethernet                                             | Total                     | 52
decoder.arp                                                  | Total                     | 3
decoder.udp                                                  | Total                     | 39
decoder.icmpv6                                               | Total                     | 10
decoder.avg_pkt_size                                         | Total                     | 145
decoder.max_pkt_size                                         | Total                     | 221
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 8
flow.udp                                                     | Total                     | 5
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 3
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 33
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 4
flow.mgr.flows_notimeout                                     | Total                     | 4
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 344064
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 13:34:07 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 62
capture.afpacket.polls                                       | Total                     | 466
capture.afpacket.poll_timeout                                | Total                     | 415
capture.afpacket.poll_data                                   | Total                     | 51
decoder.pkts                                                 | Total                     | 61
decoder.bytes                                                | Total                     | 8458
decoder.ipv4                                                 | Total                     | 27
decoder.ipv6                                                 | Total                     | 31
decoder.ethernet                                             | Total                     | 61
decoder.arp                                                  | Total                     | 3
decoder.udp                                                  | Total                     | 47
decoder.icmpv6                                               | Total                     | 11
decoder.avg_pkt_size                                         | Total                     | 138
decoder.max_pkt_size                                         | Total                     | 221
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 8
flow.udp                                                     | Total                     | 5
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 3
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 40
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 8
flow.mgr.flows_notimeout                                     | Total                     | 8
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 344064
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 13:34:15 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 64
capture.afpacket.polls                                       | Total                     | 645
capture.afpacket.poll_timeout                                | Total                     | 592
capture.afpacket.poll_data                                   | Total                     | 53
decoder.pkts                                                 | Total                     | 63
decoder.bytes                                                | Total                     | 8672
decoder.ipv4                                                 | Total                     | 27
decoder.ipv6                                                 | Total                     | 33
decoder.ethernet                                             | Total                     | 63
decoder.arp                                                  | Total                     | 3
decoder.udp                                                  | Total                     | 49
decoder.icmpv6                                               | Total                     | 11
decoder.avg_pkt_size                                         | Total                     | 137
decoder.max_pkt_size                                         | Total                     | 221
flow.total                                                   | Total                     | 8
flow.active                                                  | Total                     | 8
flow.udp                                                     | Total                     | 5
flow.icmpv6                                                  | Total                     | 3
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 3
decoder.event.ipv6.zero_len_padn                             | Total                     | 8
app_layer.flow.mdns                                          | Total                     | 3
app_layer.flow.failed_udp                                    | Total                     | 2
app_layer.tx.mdns                                            | Total                     | 42
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9700
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 8
flow.mgr.flows_notimeout                                     | Total                     | 8
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 344064
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 13:34:23 (uptime: 0d, 00h 00m 32s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 65
capture.afpacket.polls                                       | Total                     | 913
capture.afpacket.poll_timeout                                | Total                     | 858
